UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
10113,L50112,L,299.6,308.2,1559,46.5,199,0,0,0,0,0,0
10114,L50113,L,300.7,307.6,1733,60.5,147,0,0,0,0,0,0
10115,M20114,M,299.3,310.4,1566,28.8,210,0,0,0,0,0,0
10116,L50115,L,302.9,311.8,1648,41.7,12,0,0,0,0,0,0
10117,L50116,L,300.9,313.8,1634,6.4,172,0,0,0,0,0,0
10118,L50117,L,300.6,308.0,1534,46.5,123,0,0,0,0,0,0
10119,H10118,H,299.9,309.7,1475,27.7,162,0,0,0,0,0,0
10120,L50119,L,299.1,308.8,1492,47.0,113,0,0,0,0,0,0
10121,L50120,L,299.6,308.2,1442,54.2,85,0,0,0,0,0,0
10122,M20121,M,297.8,305.9,1216,37.7,241,0,0,0,0,0,0
10123,L50122,L,299.1,311.0,1601,35.7,99,0,0,0,0,0,0
10124,L50123,L,298.3,307.7,1642,47.6,248,0,0,0,0,0,0
10125,M20124,M,300.0,308.3,1600,51.6,25,0,0,0,0,0,0
10126,L50125,L,299.0,308.2,1367,23.1,244,0,0,0,0,0,0
10127,L50126,L,296.1,308.6,1350,29.6,24,0,0,0,0,0,0
10128,L50127,L,301.0,313.0,1678,43.0,239,0,0,0,0,0,0
10129,L50128,L,302.9,311.5,1780,35.7,61,0,0,0,0,0,0
10130,H10129,H,303.6,311.2,1610,32.8,15,0,0,0,0,0,0
10131,L50130,L,302.0,311.8,1550,47.7,237,0,0,0,0,0,0
10132,L50131,L,300.7,311.9,1702,38.8,126,0,0,0,0,0,0
10133,L50132,L,298.3,308.2,1586,34.2,10,0,0,0,0,0,0
10134,L50133,L,298.9,308.2,1788,36.2,237,0,0,0,0,0,0
10135,L50134,L,304.0,313.8,1715,36.9,197,0,0,0,0,0,0
10136,H10135,H,301.1,313.3,1533,53.3,229,0,0,0,0,0,0
10137,L50136,L,301.5,311.5,1392,24.6,93,0,0,0,0,0,0
10138,M20137,M,301.4,310.0,1232,39.3,50,0,0,0,0,0,0
10139,L50138,L,299.0,308.8,1502,41.3,211,0,0,0,0,0,0
10140,H10139,H,304.5,313.8,1369,49.6,161,0,0,0,0,0,0
10141,M20140,M,298.3,308.0,1639,26.8,209,0,0,0,0,0,0
10142,L50141,L,302.2,312.5,1349,29.9,124,0,0,0,0,0,0
10143,L50142,L,298.7,308.1,1602,34.9,198,0,0,0,0,0,0
10144,L50143,L,302.0,311.6,1404,43.7,147,0,0,0,0,0,0
10145,M20144,M,303.9,312.5,1565,52.9,191,0,0,0,0,0,0
10146,L50145,L,304.3,313.7,1800,43.5,225,0,0,0,0,0,0
10147,L50146,L,295.5,306.6,1624,25.8,215,0,0,0,0,0,0
10148,L50147,L,300.2,308.3,1573,52.8,82,0,0,0,0,0,0
10149,M20148,M,298.7,308.8,1429,44.3,244,0,0,0,0,0,0
10150,L50149,L,300.3,310.8,1377,35.2,66,0,0,0,0,0,0
10151,M20150,M,301.8,312.2,1636,35.3,128,0,0,0,0,0,0
10152,L50151,L,302.0,310.1,1711,37.9,166,0,0,0,0,0,0
10153,L50152,L,300.3,311.6,1527,29.0,222,1,0,0,0,1,0
10154,L50153,L,296.9,305.7,1650,41.1,222,0,0,0,0,0,0
10155,M20154,M,301.1,309.4,1413,42.8,53,0,0,0,0,0,0
10156,L50155,L,298.4,308.4,1543,37.7,170,0,0,0,0,0,0
10157,L50156,L,302.0,312.8,1482,36.7,182,0,0,0,0,0,0
10158,M20157,M,300.7,309.3,1617,45.7,174,0,0,0,0,0,0
10159,M20158,M,297.8,308.2,1744,41.9,78,0,0,0,0,0,0
10160,L50159,L,304.5,313.8,1653,28.3,99,0,0,0,0,0,0
10161,M20160,M,301.4,310.2,1373,44.5,231,0,0,0,0,0,0
10162,L50161,L,299.8,309.1,1326,40.7,16,0,0,0,0,0,0
10163,L50162,L,300.7,308.8,1471,55.3,26,1,0,1,0,0,0
10164,M20163,M,297.6,308.9,1438,5.4,14,0,0,0,0,0,0
10165,M20164,M,299.8,310.8,1275,39.0,18,0,0,0,0,0,0
10166,M20165,M,300.0,308.5,1546,24.7,75,0,0,0,0,0,0
10167,L50166,L,300.8,311.5,1529,42.3,96,0,0,0,0,0,0
10168,M20167,M,296.3,305.7,1249,44.3,239,0,0,0,0,0,0
10169,L50168,L,300.4,312.3,1654,25.4,194,0,0,0,0,0,0
10170,M20169,M,302.6,313.1,1482,32.8,24,0,0,0,0,0,0
10171,L50170,L,296.1,308.0,1747,38.0,99,0,0,0,0,0,0
10172,L50171,L,298.9,307.8,1377,33.7,36,0,0,0,0,0,0
10173,L50172,L,301.9,313.7,1464,37.0,97,0,0,0,0,0,0
10174,L50173,L,297.7,307.7,1470,62.4,128,0,0,0,0,0,0
10175,M20174,M,304.5,313.8,1511,32.7,221,0,0,0,0,0,0
10176,H10175,H,299.8,309.6,1753,23.6,43,0,0,0,0,0,0
10177,L50176,L,302.5,311.2,1200,30.5,125,0,0,0,0,0,0
10178,M20177,M,300.0,310.2,1564,38.2,85,0,0,0,0,0,0
10179,M20178,M,297.2,305.7,1921,41.9,102,0,0,0,0,0,0
10180,H10179,H,299.2,308.6,1551,41.3,112,0,0,0,0,0,0
10181,M20180,M,299.9,308.6,1609,31.9,145,0,0,0,0,0,0
10182,L50181,L,299.9,308.2,1559,47.3,79,0,0,0,0,0,0
10183,M20182,M,297.9,305.8,1760,21.8,123,0,0,0,0,0,0
10184,L50183,L,300.4,312.1,1456,55.8,108,0,0,0,0,0,0
10185,M20184,M,298.9,307.8,1320,28.3,163,0,0,0,0,0,0
10186,L50185,L,297.1,307.2,1596,49.4,199,0,0,0,0,0,0
10187,H10186,H,298.8,311.3,1349,47.9,131,0,0,0,0,0,0
10188,H10187,H,300.5,310.4,1396,34.3,159,0,0,0,0,0,0
10189,H10188,H,301.3,310.9,1266,39.4,191,0,0,0,0,0,0
10190,L50189,L,298.2,306.4,1523,23.1,189,0,0,0,0,0,0
10191,L50190,L,301.1,312.1,1281,25.5,111,0,0,0,0,0,0
10192,M20191,M,299.5,309.8,1476,51.6,67,0,0,0,0,0,0
10193,L50192,L,303.9,313.8,1355,27.1,13,0,0,0,0,0,0
10194,L50193,L,299.0,309.2,1537,44.6,58,0,0,0,0,0,0
10195,M20194,M,300.5,308.0,1631,53.6,138,0,0,0,0,0,0
10196,L50195,L,301.7,310.5,1478,57.4,18,0,0,0,0,0,0
10197,L50196,L,301.0,310.9,1362,28.9,47,0,0,0,0,0,0
10198,M20197,M,300.7,312.6,1731,38.9,81,0,0,0,0,0,0
10199,L50198,L,300.0,310.6,1304,41.7,187,0,0,0,0,0,0
10200,L50199,L,298.2,307.8,2072,52.3,181,1,0,0,1,0,0
10201,M20200,M,298.5,307.2,1571,58.5,149,0,0,0,0,0,0
10202,H10201,H,303.6,311.7,1526,51.8,126,0,0,0,0,0,0
10203,L50202,L,297.7,310.6,1210,40.3,248,1,1,0,0,0,0
10204,L50203,L,297.9,307.0,1700,33.6,152,0,0,0,0,0,0
10205,H10204,H,300.6,310.5,1636,57.2,83,0,0,0,0,0,0
10206,M20205,M,296.2,305.7,1370,35.5,223,0,0,0,0,0,0
10207,H10206,H,299.3,309.1,1383,31.7,132,0,0,0,0,0,0
10208,L50207,L,302.3,310.7,1520,40.8,175,0,0,0,0,0,0
10209,L50208,L,298.7,307.6,1723,29.6,113,0,0,0,0,0,0
10210,M20209,M,300.6,311.3,1413,45.1,228,0,0,0,0,0,0
10211,L50210,L,296.7,306.4,1820,36.5,165,0,0,0,0,0,0
10212,L50211,L,301.2,311.0,1386,43.2,67,0,0,0,0,0,0
10213,L50212,L,298.8,307.6,1453,33.8,168,0,0,0,0,0,0
10214,L50213,L,298.5,308.0,1712,32.9,6,0,0,0,0,0,0
10215,M20214,M,299.8,310.6,1881,35.5,123,0,0,0,0,0,0
10216,M20215,M,297.9,307.9,1724,21.9,242,0,0,0,0,0,0
10217,L50216,L,303.6,313.8,1550,25.6,25,0,0,0,0,0,0
10218,H10217,H,300.4,310.1,1519,41.1,148,0,0,0,0,0,0
10219,L50218,L,303.5,312.7,1854,47.4,16,0,0,0,0,0,0
10220,M20219,M,300.1,309.2,1353,35.5,183,0,0,0,0,0,0
10221,L50220,L,301.0,310.3,1609,35.3,108,0,0,0,0,0,0
10222,M20221,M,298.7,306.9,1931,37.1,127,0,0,0,0,0,0
10223,L50222,L,297.4,307.2,1607,37.3,168,0,0,0,0,0,0
10224,L50223,L,298.6,305.7,1835,42.6,158,0,0,0,0,0,0
10225,H10224,H,296.6,307.1,1637,54.9,96,0,0,0,0,0,0
10226,H10225,H,299.7,310.6,1620,23.2,138,0,0,0,0,0,0
10227,M20226,M,303.9,313.5,1540,41.5,48,0,0,0,0,0,0
10228,L50227,L,299.0,308.1,1648,59.7,225,0,0,0,0,0,0
10229,M20228,M,301.7,310.7,1368,37.6,60,0,0,0,0,0,0
10230,M20229,M,303.2,313.8,1580,34.8,34,0,0,0,0,0,0
10231,L50230,L,301.8,311.5,1586,35.8,213,0,0,0,0,0,0
10232,L50231,L,300.7,310.5,1978,34.9,136,0,0,0,0,0,0
10233,M20232,M,301.4,311.2,1709,39.1,0,0,0,0,0,0,0
10234,L50233,L,303.2,312.3,1376,29.4,3,0,0,0,0,0,0
10235,M20234,M,302.2,310.1,1658,34.8,60,0,0,0,0,0,0
10236,M20235,M,300.1,312.3,1559,57.8,11,0,0,0,0,0,0
10237,L50236,L,298.6,308.7,1738,44.3,83,0,0,0,0,0,0
10238,L50237,L,298.6,308.5,1553,44.6,197,0,0,0,0,0,0
10239,H10238,H,300.1,309.1,1580,46.1,87,0,0,0,0,0,0
10240,L50239,L,303.9,312.2,1362,58.3,24,0,0,0,0,0,0
10241,H10240,H,302.0,310.2,1804,41.1,177,0,0,0,0,0,0
10242,M20241,M,299.4,310.7,1501,40.3,31,0,0,0,0,0,0
10243,M20242,M,300.2,311.9,1553,34.5,149,0,0,0,0,0,0
10244,M20243,M,298.0,306.7,1470,46.7,94,0,0,0,0,0,0
10245,L50244,L,303.2,313.8,1520,39.3,253,0,0,0,0,0,0
10246,L50245,L,299.5,311.1,1769,48.4,173,0,0,0,0,0,0
10247,L50246,L,304.5,313.3,1314,27.0,149,0,0,0,0,0,0
10248,L50247,L,297.6,306.5,1991,24.1,162,0,0,0,0,0,0
10249,L50248,L,302.0,311.3,1717,31.3,137,0,0,0,0,0,0
10250,M20249,M,298.4,307.7,1740,51.3,47,0,0,0,0,0,0
10251,L50250,L,298.5,309.1,1383,48.2,211,0,0,0,0,0,0
10252,L50251,L,298.6,307.3,1398,52.6,93,0,0,0,0,0,0
10253,H10252,H,299.1,310.2,1437,32.3,133,0,0,0,0,0,0
10254,M20253,M,297.2,309.6,1442,29.2,217,0,0,0,0,0,0
10255,L50254,L,299.2,310.9,1477,51.6,51,0,0,0,0,0,0
10256,M20255,M,301.5,311.4,1814,41.7,0,0,0,0,0,0,0
10257,L50256,L,298.1,310.8,1414,43.6,65,0,0,0,0,0,0
10258,L50257,L,302.6,311.0,1707,23.1,197,0,0,0,0,0,0
10259,M20258,M,296.3,307.2,1212,44.9,52,0,0,0,0,0,0
10260,L50259,L,297.0,305.7,1381,41.3,169,0,0,0,0,0,0
10261,L50260,L,299.9,311.4,1436,46.8,36,0,0,0,0,0,0
10262,H10261,H,299.4,311.0,1551,44.7,101,0,0,0,0,0,0
10263,M20262,M,298.6,310.8,1506,42.1,59,0,0,0,0,0,0
10264,M20263,M,300.2,310.7,1293,33.2,214,0,0,0,0,0,0
10265,M20264,M,297.5,306.1,1384,24.4,83,0,0,0,0,0,0
10266,M20265,M,299.6,311.2,1386,50.6,49,0,0,0,0,0,0
10267,L50266,L,300.2,308.2,2073,47.7,54,0,0,0,0,0,0
10268,M20267,M,297.0,307.8,1386,36.6,33,0,0,0,0,0,0
10269,M20268,M,300.6,309.8,1437,24.3,221,1,0,0,0,1,0
10270,L50269,L,301.3,312.6,1738,41.9,41,0,0,0,0,0,0
10271,L50270,L,302.4,311.2,1917,33.7,54,0,0,0,0,0,0
10272,M20271,M,296.3,307.9,1558,18.4,100,1,0,0,0,1,0
10273,M20272,M,300.8,309.4,1874,40.2,229,0,0,0,0,0,0
10274,L50273,L,301.8,310.8,1994,36.8,125,0,0,0,0,0,0
10275,L50274,L,300.4,312.3,1476,35.9,249,0,0,0,0,0,0
10276,L50275,L,302.2,311.8,1734,19.6,99,0,0,0,0,0,0
10277,H10276,H,301.0,311.6,1379,45.8,234,0,0,0,0,0,0
10278,L50277,L,295.5,305.7,1521,46.8,110,0,0,0,0,0,0
10279,L50278,L,302.5,313.5,1383,45.1,247,0,0,0,0,0,0
10280,L50279,L,299.5,310.5,1758,39.2,32,0,0,0,0,0,0
10281,H10280,H,298.1,308.1,1694,37.6,11,0,0,0,0,0,0
10282,M20281,M,299.3,310.1,1424,23.1,170,0,0,0,0,0,0
10283,L50282,L,298.0,307.2,1419,40.9,212,0,0,0,0,0,0
10284,M20283,M,301.8,310.1,1420,42.0,218,0,0,0,0,0,0
10285,L50284,L,299.2,309.8,1717,53.9,34,0,0,0,0,0,0
10286,M20285,M,302.4,313.8,1457,40.8,164,0,0,0,0,0,0
10287,L50286,L,296.8,308.5,1264,56.4,241,0,0,0,0,0,0
10288,L50287,L,301.1,312.2,1621,42.7,213,0,0,0,0,0,0
10289,H10288,H,302.0,313.8,1712,33.9,149,0,0,0,0,0,0
10290,L50289,L,297.8,306.9,1606,35.9,13,0,0,0,0,0,0
10291,L50290,L,296.6,306.0,1460,45.6,108,0,0,0,0,0,0
10292,L50291,L,301.1,311.6,1612,55.7,16,0,0,0,0,0,0
10293,L50292,L,295.3,305.7,1440,51.8,169,0,0,0,0,0,0
10294,L50293,L,302.3,311.3,1730,23.2,99,0,0,0,0,0,0
10295,L50294,L,300.4,312.2,1807,27.2,128,0,0,0,0,0,0
10296,L50295,L,300.1,313.4,1428,44.4,42,0,0,0,0,0,0
10297,M20296,M,300.2,308.9,1451,35.4,129,0,0,0,0,0,0
10298,L50297,L,300.2,309.6,1813,39.3,120,0,0,0,0,0,0
10299,L50298,L,300.3,308.8,1805,33.8,9,0,0,0,0,0,0
10300,L50299,L,302.2,312.3,1670,51.7,166,0,0,0,0,0,0
10301,L50300,L,299.7,310.6,1720,44.3,34,0,0,0,0,0,0
10302,H10301,H,300.9,312.2,1539,36.5,19,0,0,0,0,0,0
10303,L50302,L,299.0,307.8,1694,41.3,4,0,0,0,0,0,0
10304,H10303,H,298.9,311.3,1686,39.0,9,1,0,0,0,0,1
10305,L50304,L,299.7,308.9,1491,30.9,23,0,0,0,0,0,0
10306,M20305,M,301.9,311.9,1563,38.4,236,0,0,0,0,0,0
10307,L50306,L,298.8,308.6,1537,51.1,221,1,1,0,0,0,0
10308,M20307,M,301.5,309.4,1485,30.3,69,0,0,0,0,0,0
10309,H10308,H,302.7,312.1,1777,39.8,122,0,0,0,0,0,0
10310,L50309,L,300.8,311.3,1900,36.5,218,0,0,0,0,0,0
10311,H10310,H,302.7,313.5,1818,37.6,139,0,0,0,0,0,0
10312,L50311,L,300.7,313.2,1461,48.4,39,0,0,0,0,0,0
10313,L50312,L,299.5,308.9,1667,27.7,108,0,0,0,0,0,0
10314,H10313,H,301.6,311.8,1565,56.0,50,1,0,0,0,1,0
10315,M20314,M,298.1,308.9,1608,33.3,150,0,0,0,0,0,0
10316,L50315,L,298.1,309.0,1673,37.1,82,0,0,0,0,0,0
10317,L50316,L,296.9,306.2,1358,52.9,231,0,0,0,0,0,0
10318,M20317,M,295.4,305.7,1300,59.3,211,0,0,0,0,0,0
10319,L50318,L,298.6,308.7,1445,17.9,16,0,0,0,0,0,0
10320,L50319,L,298.9,311.2,1492,43.9,166,0,0,0,0,0,0
10321,M20320,M,300.4,308.6,1841,42.0,216,0,0,0,0,0,0
10322,M20321,M,295.3,305.7,1593,46.3,124,0,0,0,0,0,0
10323,M20322,M,300.3,306.7,1796,36.2,26,0,0,0,0,0,0
10324,L50323,L,296.9,307.2,1361,41.4,50,0,0,0,0,0,0
10325,L50324,L,297.7,306.2,1305,46.4,92,0,0,0,0,0,0
10326,M20325,M,300.2,310.2,1516,36.0,220,0,0,0,0,0,0
10327,L50326,L,300.2,307.7,1605,43.8,169,0,0,0,0,0,0
10328,H10327,H,303.8,313.8,1811,36.3,51,0,0,0,0,0,0
10329,L50328,L,300.1,310.8,1368,45.0,239,0,0,0,0,0,0
10330,M20329,M,297.4,306.5,1599,40.7,233,0,0,0,0,0,0
10331,L50330,L,300.9,310.0,1487,46.7,177,0,0,0,0,0,0
10332,L50331,L,302.2,309.9,1504,54.3,170,0,0,0,0,0,0
10333,M20332,M,302.2,313.5,1367,33.1,153,0,0,0,0,0,0
10334,L50333,L,300.7,309.7,1627,16.5,9,0,0,0,0,0,0
10335,M20334,M,304.4,313.2,1596,32.4,183,0,0,0,0,0,0
10336,L50335,L,301.1,312.3,1570,38.8,157,0,0,0,0,0,0
10337,M20336,M,301.5,308.5,1441,28.8,148,0,0,0,0,0,0
10338,M20337,M,295.8,305.7,1433,28.3,59,0,0,0,0,0,0
10339,M20338,M,297.9,306.9,1247,34.3,79,0,0,0,0,0,0
10340,L50339,L,302.9,313.8,1497,21.8,145,0,0,0,0,0,0
10341,L50340,L,303.9,313.2,1179,43.6,249,0,0,0,0,0,0
10342,M20341,M,302.4,313.8,1408,35.1,65,0,0,0,0,0,0
10343,L50342,L,300.6,312.1,1494,27.6,192,0,0,0,0,0,0
10344,L50343,L,299.5,310.3,1645,42.6,125,0,0,0,0,0,0
10345,M20344,M,299.8,309.7,1591,45.6,192,0,0,0,0,0,0
10346,L50345,L,300.2,309.4,1687,47.7,198,0,0,0,0,0,0
10347,M20346,M,301.4,311.3,1789,20.7,139,0,0,0,0,0,0
10348,M20347,M,299.2,308.0,1433,54.3,165,0,0,0,0,0,0
10349,L50348,L,302.3,311.9,1664,32.6,154,0,0,0,0,0,0
10350,L50349,L,301.5,309.7,1514,61.7,146,0,0,0,0,0,0
10351,M20350,M,299.7,309.1,1744,45.8,214,0,0,0,0,0,0
10352,L50351,L,298.9,305.8,1730,29.8,215,0,0,0,0,0,0
10353,L50352,L,301.7,309.5,1337,31.0,82,0,0,0,0,0,0
10354,L50353,L,298.2,308.4,1531,31.6,86,0,0,0,0,0,0
10355,L50354,L,296.1,305.7,1415,49.7,120,0,0,0,0,0,0
10356,H10355,H,301.4,309.4,1292,39.6,21,0,0,0,0,0,0
10357,L50356,L,303.2,313.8,1227,21.6,124,0,0,0,0,0,0
10358,L50357,L,299.5,309.2,1529,42.3,204,0,0,0,0,0,0
10359,L50358,L,298.2,310.7,1491,45.0,92,0,0,0,0,0,0
10360,L50359,L,296.4,305.7,1486,40.1,170,0,0,0,0,0,0
10361,L50360,L,301.5,308.5,1505,42.9,57,0,0,0,0,0,0
10362,M20361,M,296.9,308.5,1414,37.6,193,0,0,0,0,0,0
10363,M20362,M,298.8,310.4,1329,33.5,89,1,0,0,0,1,0
10364,L50363,L,298.3,310.4,1673,33.7,70,0,0,0,0,0,0
